classifier,top_k,estimated_model_units,max_depth,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
random_forest_3,231,3,8,344,73,0.5342465753424658,0.5194081281037802,0.4992063492063492,0.5010383194526417,0.5247206868269826,0.3846153846153846,0.5098039215686274,0.608695652173913
extra_trees_10,70,10,8,344,73,0.5205479452054794,0.5172413793103449,0.4912698412698413,0.4969199927100419,0.5154250020596628,0.4,0.5483870967741935,0.5423728813559322
gradient_boosting_5,150,5,2,344,73,0.5205479452054794,0.6623931623931624,0.48174603174603176,0.49607227022780837,0.5095395409398573,0.4210526315789474,0.5671641791044776,0.5
extra_trees_5,126,5,8,344,73,0.4931506849315068,0.5194726166328599,0.4785714285714286,0.49078184800437397,0.4931866354097232,0.48,0.4838709677419355,0.5084745762711865
gradient_boosting_5,70,5,2,344,73,0.547945205479452,0.5331541218637993,0.49444444444444446,0.48885148321623734,0.5260057425170832,0.28571428571428575,0.6562499999999999,0.5245901639344263
extra_trees_3,70,3,8,344,73,0.5205479452054794,0.502661018790051,0.4801587301587302,0.48309568648551693,0.5113160193262352,0.33333333333333337,0.5762711864406779,0.5396825396825397
random_forest_5,126,5,8,344,73,0.5068493150684932,0.5030864197530863,0.476984126984127,0.4828282828282829,0.5001245330012453,0.4,0.4727272727272727,0.5757575757575758
random_forest_3,126,3,8,344,73,0.5068493150684932,0.4676518883415435,0.4674603174603174,0.4673926194797338,0.5051338786266564,0.2758620689655172,0.5263157894736843,0.6
extra_trees_3,100,3,8,344,73,0.5068493150684932,0.4766252266252266,0.4666666666666666,0.4673228006561341,0.49872096447438924,0.30769230769230765,0.5185185185185186,0.5757575757575758
sklearn_tree_depth8,70,1,8,344,73,0.4931506849315068,0.4955724225173941,0.45714285714285713,0.46339965610415135,0.4849839997577251,0.3478260869565218,0.5423728813559322,0.5
extra_trees_10,100,10,8,344,73,0.5342465753424658,0.482078853046595,0.4698412698412698,0.45864233671610727,0.5108995540726958,0.19047619047619044,0.5625000000000001,0.6229508196721313
gradient_boosting_5,126,5,2,344,73,0.5068493150684932,0.5333333333333333,0.4595238095238095,0.4585858585858586,0.4879618098796181,0.3,0.5757575757575758,0.5
extra_trees_3,150,3,8,344,73,0.4931506849315068,0.4612903225806451,0.4579365079365079,0.45810215717884833,0.48784021792532134,0.2962962962962963,0.5862068965517241,0.4918032786885246
extra_trees_3,126,3,8,344,73,0.4520547945205479,0.46091954022988507,0.45396825396825397,0.4570426651081239,0.4529434841436955,0.4827586206896552,0.4137931034482759,0.47457627118644075
sklearn_tree_depth10,70,1,10,344,73,0.4794520547945205,0.47298474945533764,0.446031746031746,0.4512691570881226,0.47275035427491735,0.33333333333333337,0.5517241379310344,0.46875
sklearn_tree_depth12,70,1,12,344,73,0.4794520547945205,0.47298474945533764,0.446031746031746,0.4512691570881226,0.47275035427491735,0.33333333333333337,0.5517241379310344,0.46875
extra_trees_5,70,5,8,344,73,0.4794520547945205,0.45357142857142857,0.43412698412698414,0.4337292892015531,0.4669604080994277,0.26086956521739135,0.5172413793103449,0.523076923076923
extra_trees_5,100,5,8,344,73,0.4794520547945205,0.4431372549019608,0.4333333333333333,0.4317528735632184,0.4677019367028815,0.25,0.4827586206896552,0.5625
gradient_boosting_5,100,5,2,344,73,0.4931506849315068,0.5459057071960297,0.4373015873015873,0.4270632266717415,0.4653154617659513,0.2222222222222222,0.5671641791044776,0.4918032786885246
extra_trees_20,100,20,8,344,73,0.4657534246575342,0.4339354132457581,0.4222222222222222,0.4214349977507872,0.4547492281810954,0.25,0.49122807017543857,0.523076923076923
random_forest_3,180,3,8,344,73,0.4794520547945205,0.4341269841269841,0.423015873015873,0.41685606060606056,0.4637297633872977,0.18181818181818182,0.46875000000000006,0.6
