seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean
21,seed21_quad1_scenario1,quad1,vote5_state_machine_confirm_3,60,0.4,0.35094339622641507,0.330566037735849,0.6,0.0,0.45283018867924524,4,5,1,0,4,2,0.5,7.5
21,seed21_quad1_scenario2,quad1,raw_prediction,60,0.38333333333333336,0.3952933591231464,0.40626692456479685,0.5454545454545454,0.3,0.3404255319148936,4,27,23,0,4,4,1.0,2.5
21,seed21_quad1_scenario2,quad1,majority_vote_3,60,0.36666666666666664,0.3668859649122807,0.3602631578947369,0.43750000000000006,0.2631578947368421,0.39999999999999997,4,19,15,0,4,4,1.0,4.0
21,seed21_quad1_scenario2,quad1,majority_vote_5,60,0.36666666666666664,0.3548157092749123,0.33850612385716755,0.45161290322580644,0.17647058823529413,0.43636363636363634,4,14,10,0,4,4,1.0,4.5
21,seed21_quad1_scenario2,quad1,majority_vote_7,60,0.3,0.2716640085061138,0.24178628389154705,0.33333333333333337,0.06060606060606061,0.4210526315789474,4,9,5,0,4,3,0.75,7.25
21,seed21_quad1_scenario2,quad1,state_machine_confirm_2,60,0.4166666666666667,0.4126007659842246,0.39716173550760014,0.48484848484848486,0.2631578947368421,0.489795918367347,4,12,8,0,4,4,1.0,4.0
21,seed21_quad1_scenario2,quad1,state_machine_confirm_3,60,0.2,0.13333333333333333,0.08000000000000002,0.0,0.0,0.4,4,1,0,3,4,1,0.25,9.0
21,seed21_quad1_scenario2,quad1,vote5_state_machine_confirm_2,60,0.26666666666666666,0.22722381196957464,0.19131264216009977,0.21428571428571427,0.06060606060606061,0.4067796610169491,4,6,2,0,4,3,0.75,7.25
21,seed21_quad1_scenario2,quad1,vote5_state_machine_confirm_3,60,0.2,0.13333333333333333,0.08000000000000002,0.0,0.0,0.4,4,1,0,3,4,1,0.25,9.0
21,seed21_quad1_scenario3,quad1,raw_prediction,60,0.36666666666666664,0.37770281958138735,0.38515827711468603,0.5,0.2926829268292683,0.3404255319148936,4,27,23,0,4,4,1.0,1.75
21,seed21_quad1_scenario3,quad1,majority_vote_3,60,0.43333333333333335,0.4421667656961774,0.45216874628639336,0.5454545454545454,0.38888888888888895,0.392156862745098,4,20,16,0,4,4,1.0,2.0
21,seed21_quad1_scenario3,quad1,majority_vote_5,60,0.4,0.39876543209876547,0.39703703703703713,0.4,0.38888888888888895,0.4074074074074074,4,18,14,0,4,4,1.0,4.0
21,seed21_quad1_scenario3,quad1,majority_vote_7,60,0.3333333333333333,0.32088122605363983,0.3091954022988505,0.33333333333333337,0.25,0.3793103448275862,4,15,11,0,4,4,1.0,4.5
21,seed21_quad1_scenario3,quad1,state_machine_confirm_2,60,0.43333333333333335,0.43324708182393185,0.43262377091599097,0.45161290322580644,0.4117647058823529,0.43636363636363634,4,9,5,0,4,4,1.0,3.5
21,seed21_quad1_scenario3,quad1,state_machine_confirm_3,60,0.31666666666666665,0.2644808743169399,0.23868852459016396,0.0,0.4,0.39344262295081966,4,5,1,0,4,3,0.75,5.25
21,seed21_quad1_scenario3,quad1,vote5_state_machine_confirm_2,60,0.31666666666666665,0.29132356018364663,0.27501200103393525,0.14814814814814814,0.35294117647058826,0.3728813559322034,4,7,3,0,4,3,0.75,6.0
21,seed21_quad1_scenario3,quad1,vote5_state_machine_confirm_3,60,0.25,0.20452771272443407,0.1798594847775176,0.0,0.28571428571428575,0.3278688524590165,4,5,1,0,4,3,0.75,6.75
21,seed21_quad2_scenario1,quad2,raw_prediction,60,0.8,0.7777777777777777,0.8,1.0,0.6666666666666666,0.6666666666666666,4,11,7,0,4,4,1.0,0.5
21,seed21_quad2_scenario1,quad2,majority_vote_3,60,0.75,0.7268518518518517,0.75,0.9583333333333334,0.611111111111111,0.611111111111111,4,11,7,0,4,4,1.0,1.5
