family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,126,936,1,70.0,0.3313986281020495,0.1
gradient_boosting,126,938,1,101.0,0.18235315846306202,0.1
gradient_boosting,126,939,5,96.6,0.22137651391087018,0.5
gradient_boosting,126,947,1,75.0,0.32636836957475807,0.1
gradient_boosting,126,949,2,113.5,0.1773847880555105,0.2
gradient_boosting,126,950,4,96.5,0.22349728091850926,0.4
gradient_boosting,126,958,1,83.0,0.30526801742794296,0.1
gradient_boosting,126,961,2,101.0,0.24657348938410448,0.2
gradient_boosting,126,969,1,120.0,0.24102040985072393,0.1
gradient_boosting,126,972,1,110.0,0.25243911055324486,0.1
gradient_boosting,126,980,1,109.0,0.2529612098143677,0.1
gradient_boosting,126,983,1,103.0,0.25809266891313837,0.1
gradient_boosting,126,991,1,114.0,0.24873603617864548,0.1
gradient_boosting,126,994,1,108.0,0.2547878627123918,0.1
gradient_boosting,126,1002,1,126.0,0.22970103209835124,0.1
gradient_boosting,126,1005,1,123.0,0.2381820128192198,0.1
gradient_boosting,160,111,10,143.5,0.1661723275163684,1.0
gradient_boosting,160,114,8,147.125,0.15778632018603947,0.8
gradient_boosting,160,122,5,153.2,0.16380705606963875,0.5
gradient_boosting,160,125,2,148.5,0.1610473013130695,0.2
gradient_boosting,160,133,10,102.1,0.19400629587192936,1.0
gradient_boosting,160,136,10,114.6,0.1835968342133183,1.0
gradient_boosting,160,144,10,111.8,0.18620536730167464,1.0
gradient_boosting,160,147,10,121.5,0.17760035011750286,1.0
gradient_boosting,160,155,10,79.3,0.22628096184537344,1.0
gradient_boosting,160,158,10,99.3,0.19725733322310415,1.0
gradient_boosting,160,166,10,71.1,0.2448510795453896,1.0
gradient_boosting,160,169,10,80.9,0.22267339792380664,1.0
gradient_boosting,160,177,10,70.7,0.2453613893751033,1.0
gradient_boosting,160,180,10,84.0,0.2196121827155694,1.0
gradient_boosting,160,188,10,60.9,0.26755941177717124,1.0
gradient_boosting,160,189,1,151.0,0.1566758144146004,0.1
gradient_boosting,160,191,10,69.1,0.24759322337336673,1.0
gradient_boosting,160,199,10,54.9,0.2784391305984123,1.0
gradient_boosting,160,200,3,143.0,0.15830092454886963,0.3
gradient_boosting,160,202,10,60.2,0.2691431137259332,1.0
gradient_boosting,160,210,10,30.7,0.31341746912645985,1.0
gradient_boosting,160,211,4,127.5,0.16734382023801123,0.4
gradient_boosting,160,213,10,45.9,0.2938560432663565,1.0
gradient_boosting,160,221,10,34.0,0.3094172526899982,1.0
gradient_boosting,160,222,2,151.0,0.15791769509769846,0.2
gradient_boosting,160,224,10,44.3,0.2953228327746261,1.0
gradient_boosting,160,232,10,26.0,0.3185884520349761,1.0
gradient_boosting,160,233,4,140.75,0.16224031890111526,0.4
gradient_boosting,160,235,10,48.7,0.2890499519989736,1.0
gradient_boosting,160,243,10,28.1,0.3159576221955863,1.0
gradient_boosting,160,244,4,141.0,0.16185260480223673,0.4
gradient_boosting,160,246,10,42.1,0.297833370262582,1.0
gradient_boosting,160,248,2,144.0,0.1542022909816303,0.2
gradient_boosting,160,254,10,20.0,0.3287172716767081,1.0
gradient_boosting,160,255,7,125.85714285714286,0.16712463221161472,0.7
gradient_boosting,160,257,10,26.9,0.31939894459052254,1.0
gradient_boosting,160,259,1,156.0,0.1402204932991705,0.1
gradient_boosting,160,265,10,18.6,0.3301395011342354,1.0
gradient_boosting,160,266,4,138.0,0.16268470446910815,0.4
gradient_boosting,160,268,10,36.0,0.3057104385524062,1.0
gradient_boosting,160,276,10,14.8,0.33754477250878023,1.0
gradient_boosting,160,277,7,125.42857142857143,0.16748802365201174,0.7
gradient_boosting,160,279,10,19.0,0.329144823933969,1.0
gradient_boosting,160,281,9,114.66666666666667,0.17717858155906796,0.9
gradient_boosting,160,284,7,138.28571428571428,0.16038722486615767,0.7
gradient_boosting,160,287,10,9.8,0.3482810602819,1.0
gradient_boosting,160,288,10,109.0,0.18819237558663607,1.0
gradient_boosting,160,289,3,142.33333333333334,0.1589803243733762,0.3
gradient_boosting,160,290,10,9.2,0.3539976849223563,1.0
gradient_boosting,160,292,6,126.5,0.17199809664347876,0.6
gradient_boosting,160,295,4,121.25,0.16817159100714518,0.4
gradient_boosting,160,298,10,13.7,0.33857369172521035,1.0
gradient_boosting,160,299,9,128.77777777777777,0.1690865170102218,0.9
gradient_boosting,160,300,2,140.0,0.1620099456172605,0.2
gradient_boosting,160,301,10,16.4,0.3347575135436063,1.0
gradient_boosting,160,303,7,112.14285714285714,0.18038334868602263,0.7
gradient_boosting,160,306,6,118.5,0.17489200777014977,0.6
gradient_boosting,160,309,10,21.2,0.32730423507973766,1.0
gradient_boosting,160,310,9,138.0,0.16481725166920416,0.9
gradient_boosting,160,311,2,123.0,0.16965283740629977,0.2
gradient_boosting,160,312,10,25.6,0.3203339317805995,1.0
gradient_boosting,160,314,4,155.25,0.15529485938333965,0.4
gradient_boosting,160,317,1,148.0,0.16214038359153263,0.1
gradient_boosting,160,320,10,24.0,0.3228237764853911,1.0
gradient_boosting,160,321,3,152.33333333333334,0.15821729816996788,0.3
gradient_boosting,160,322,2,140.5,0.16181411980138108,0.2
gradient_boosting,160,323,10,35.4,0.3082044189248544,1.0
