source_file,file_name,session,quadrant,label,evaluation_count,mean_window_count,accuracy_mean,accuracy_std,mean_confidence
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\movement\movement_session_01_quad4_p013_20260718_173136.bin,movement_session_01_quad4_p013_20260718_173136.bin,session_01,quad4,movement,3,17.0,0.9019607843137255,0.12245094114506665,0.6972549019607843
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p009_20260718_161837.bin,empty_session_01_quad1_p009_20260718_161837.bin,session_01,quad1,empty,2,16.0,0.90625,0.04419417382415922,0.5753125000000001
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\empty\empty_session_02_quad1_p027_20260719_005302.bin,empty_session_02_quad1_p027_20260719_005302.bin,session_02,quad1,empty,2,17.0,0.9117647058823529,0.04159451654038516,0.6164705882352941
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\static_presence\static_presence_session_02_quad2_p029_20260719_013300.bin,static_presence_session_02_quad2_p029_20260719_013300.bin,session_02,quad2,static_presence,2,17.0,0.9117647058823529,0.04159451654038516,0.6791176470588235
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p029_20260718_173822.bin,static_presence_session_01_quad4_p029_20260718_173822.bin,session_01,quad4,static_presence,3,17.0,0.9215686274509803,0.06792356108113246,0.7545098039215686
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p007_20260719_011323.bin,static_presence_session_02_quad5_p007_20260719_011323.bin,session_02,quad5,static_presence,3,17.0,0.9215686274509803,0.033961780540566214,0.5925490196078432
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\movement\movement_session_01_quad2_p026_20260718_164524.bin,movement_session_01_quad2_p026_20260718_164524.bin,session_01,quad2,movement,1,16.0,0.9375,0.0,0.799375
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\static_presence\static_presence_session_01_quad3_p007_20260718_165213.bin,static_presence_session_01_quad3_p007_20260718_165213.bin,session_01,quad3,static_presence,1,16.0,0.9375,0.0,0.6425000000000001
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\movement\movement_session_01_quad1_p003_20260718_161553.bin,movement_session_01_quad1_p003_20260718_161553.bin,session_01,quad1,movement,4,16.0,0.9375,0.12499999999999999,0.875625
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\empty\empty_session_02_quad3_p018_20260719_003747.bin,empty_session_02_quad3_p018_20260719_003747.bin,session_02,quad3,empty,3,17.0,0.9411764705882352,0.10188534162169868,0.621764705882353
