seed,classifier,family,top_k,estimated_model_units,max_depth,n_estimators,c,class_weight,train_samples,test_samples,accuracy,macro_f1,weighted_f1,empty_precision,empty_recall,empty_f1,empty_support,static_presence_precision,static_presence_recall,static_presence_f1,static_presence_support,movement_precision,movement_recall,movement_f1,movement_support,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_roc_auc,empty_average_precision,static_presence_roc_auc,static_presence_average_precision,movement_roc_auc,movement_average_precision,fit_time_ms,prediction_time_ms
13,logistic_regression_c1,logistic_regression,231,1,,,1.0,,321,96,0.625,0.6273504273504273,0.6238782051282051,0.782608695652174,0.4864864864864865,0.6,37,0.5217391304347826,0.75,0.6153846153846154,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,27,0.8145347240602824,0.8158439249544543,0.7036697938030096,0.7021756628113364,0.8630325240494733,0.718877077779688,0.74267578125,0.6445679108095252,0.8378958668813741,0.7475643928198155,105.91909999999416,11.616399999979876
13,logistic_regression_c10,logistic_regression,231,1,,,10.0,,321,96,0.59375,0.5949123065433506,0.5957670980921149,0.76,0.5135135135135135,0.6129032258064516,37,0.5121951219512195,0.65625,0.5753424657534246,32,0.5666666666666667,0.6296296296296297,0.5964912280701754,27,0.7881109613804395,0.7910717975338778,0.674433934299009,0.6736073086666937,0.8534127347686671,0.7073628435113573,0.71435546875,0.5927049037338609,0.7965646806226516,0.7232340556518089,156.54050000000552,6.422600000007606
13,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,321,96,0.6458333333333334,0.6493899681282956,0.6457776310118601,0.7916666666666666,0.5135135135135135,0.6229508196721312,37,0.5319148936170213,0.78125,0.6329113924050633,32,0.72,0.6666666666666666,0.6923076923076923,27,0.8193740105354602,0.8204834164287029,0.7102100969488753,0.7083991293203035,0.863490609253321,0.7180527901787299,0.75244140625,0.6597541320205877,0.8421900161030595,0.752823368647308,106.9084000000089,6.735800000001291
13,xgboost_depth2_10,xgboost,231,10,2,10,,,321,96,0.6979166666666666,0.6804615644798293,0.6991174920969442,0.8888888888888888,0.8648648648648649,0.8767123287671232,37,0.6363636363636364,0.65625,0.6461538461538462,32,0.5185185185185185,0.5185185185185185,0.5185185185185185,27,0.8681238621363497,0.8761847407091828,0.75044207730094,0.7654766297278107,0.9677049931287219,0.9524152851318537,0.82373046875,0.635159068235028,0.8129361245303274,0.6637518785359385,214.8975000000064,6.403199999965636
13,xgboost_depth2_20,xgboost,231,20,2,20,,,321,96,0.7083333333333334,0.6897931411337569,0.7055422722161798,0.8461538461538461,0.8918918918918919,0.868421052631579,37,0.6451612903225806,0.625,0.6349206349206349,32,0.5769230769230769,0.5555555555555556,0.5660377358490566,27,0.8796956555237867,0.8868878273279498,0.7686711378856673,0.7833940096944886,0.967934035730646,0.9546194233564043,0.84130859375,0.6794537056735619,0.8298443370907139,0.6719402846270359,368.2036999999809,6.525599999974929
13,xgboost_depth3_20,xgboost,231,20,3,20,,,321,96,0.6979166666666666,0.6904055009318167,0.7024930113745903,0.8787878787878788,0.7837837837837838,0.8285714285714286,37,0.6363636363636364,0.65625,0.6461538461538462,32,0.5666666666666667,0.6296296296296297,0.5964912280701754,27,0.8716573131188561,0.879835435665377,0.7465637597649336,0.7640343182326665,0.9702244617498855,0.9607032257133674,0.83154296875,0.6537195504485395,0.8132045088566827,0.6252685031328937,705.4835000000139,6.10940000001392
21,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,342,75,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.9090909090909091,0.6666666666666666,0.7692307692307693,15,0.6129032258064516,0.6551724137931034,0.6333333333333333,29,0.6060606060606061,0.6451612903225806,0.625,31,0.8156263168513495,0.7858155467720684,0.7411989381096099,0.7230781371201691,0.9633333333333333,0.833287714464185,0.7518740629685157,0.6840187643770419,0.7316715542521993,0.7062903354876031,1559.8329000000035,5.323799999985113
21,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,342,75,0.52,0.503030303030303,0.5248484848484848,0.35,0.4666666666666667,0.4,15,0.5384615384615384,0.4827586206896552,0.509090909090909,29,0.6206896551724138,0.5806451612903226,0.6,31,0.7256096585138515,0.7193517786561265,0.6048226113938492,0.6330630390969655,0.76,0.47328391429459316,0.6851574212893553,0.5981161493210324,0.7316715542521994,0.7430677705659219,76.78199999998014,5.45020000004115
21,logistic_regression_c1,logistic_regression,231,1,,,1.0,,342,75,0.6133333333333333,0.621763005943797,0.607249056966571,0.5909090909090909,0.8666666666666667,0.7027027027027027,15,0.56,0.4827586206896552,0.5185185185185185,29,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.784074217371601,0.7648599033816426,0.6875859025094866,0.6880222337471232,0.8844444444444445,0.6970399542202611,0.7016491754122939,0.595591067411915,0.7661290322580645,0.7701266858962836,101.33109999998169,5.62600000000657
21,logistic_regression_c10,logistic_regression,231,1,,,10.0,,342,75,0.6266666666666667,0.6354206046442359,0.619759425370313,0.6190476190476191,0.8666666666666667,0.7222222222222222,15,0.5833333333333334,0.4827586206896552,0.5283018867924528,29,0.6666666666666666,0.6451612903225806,0.6557377049180327,31,0.7835942569607995,0.7588757136583224,0.7083870273473182,0.6933899082647831,0.9111111111111111,0.7933307923013806,0.6904047976011994,0.5912288733098846,0.749266862170088,0.7406014164306893,125.8923999999979,5.761600000028011
