seed,classifier,true_label,predicted_label,count,normalized_by_true_class
84,logistic_regression_c10,static_presence,movement,10,0.3225806451612903
84,logistic_regression_c10,movement,empty,5,0.17857142857142858
84,logistic_regression_c10,movement,static_presence,2,0.07142857142857142
84,logistic_regression_c10,movement,movement,21,0.75
84,logistic_regression_c1_balanced,empty,empty,24,0.7272727272727273
84,logistic_regression_c1_balanced,empty,static_presence,6,0.18181818181818182
84,logistic_regression_c1_balanced,empty,movement,3,0.09090909090909091
84,logistic_regression_c1_balanced,static_presence,empty,6,0.1935483870967742
84,logistic_regression_c1_balanced,static_presence,static_presence,15,0.4838709677419355
84,logistic_regression_c1_balanced,static_presence,movement,10,0.3225806451612903
84,logistic_regression_c1_balanced,movement,empty,5,0.17857142857142858
84,logistic_regression_c1_balanced,movement,static_presence,2,0.07142857142857142
84,logistic_regression_c1_balanced,movement,movement,21,0.75
84,xgboost_depth2_10,empty,empty,13,0.3939393939393939
84,xgboost_depth2_10,empty,static_presence,11,0.3333333333333333
84,xgboost_depth2_10,empty,movement,9,0.2727272727272727
84,xgboost_depth2_10,static_presence,empty,5,0.16129032258064516
84,xgboost_depth2_10,static_presence,static_presence,20,0.6451612903225806
84,xgboost_depth2_10,static_presence,movement,6,0.1935483870967742
84,xgboost_depth2_10,movement,empty,2,0.07142857142857142
84,xgboost_depth2_10,movement,static_presence,12,0.42857142857142855
84,xgboost_depth2_10,movement,movement,14,0.5
84,xgboost_depth2_20,empty,empty,16,0.48484848484848486
84,xgboost_depth2_20,empty,static_presence,9,0.2727272727272727
84,xgboost_depth2_20,empty,movement,8,0.24242424242424243
84,xgboost_depth2_20,static_presence,empty,6,0.1935483870967742
84,xgboost_depth2_20,static_presence,static_presence,19,0.6129032258064516
84,xgboost_depth2_20,static_presence,movement,6,0.1935483870967742
84,xgboost_depth2_20,movement,empty,2,0.07142857142857142
84,xgboost_depth2_20,movement,static_presence,10,0.35714285714285715
84,xgboost_depth2_20,movement,movement,16,0.5714285714285714
84,xgboost_depth3_20,empty,empty,25,0.7575757575757576
84,xgboost_depth3_20,empty,static_presence,1,0.030303030303030304
84,xgboost_depth3_20,empty,movement,7,0.21212121212121213
84,xgboost_depth3_20,static_presence,empty,5,0.16129032258064516
84,xgboost_depth3_20,static_presence,static_presence,19,0.6129032258064516
84,xgboost_depth3_20,static_presence,movement,7,0.22580645161290322
84,xgboost_depth3_20,movement,empty,3,0.10714285714285714
84,xgboost_depth3_20,movement,static_presence,11,0.39285714285714285
84,xgboost_depth3_20,movement,movement,14,0.5
126,gradient_boosting_depth3_20,empty,empty,12,0.75
126,gradient_boosting_depth3_20,empty,static_presence,4,0.25
126,gradient_boosting_depth3_20,empty,movement,0,0.0
126,gradient_boosting_depth3_20,static_presence,empty,0,0.0
126,gradient_boosting_depth3_20,static_presence,static_presence,23,0.7419354838709677
126,gradient_boosting_depth3_20,static_presence,movement,8,0.25806451612903225
126,gradient_boosting_depth3_20,movement,empty,0,0.0
126,gradient_boosting_depth3_20,movement,static_presence,4,0.12903225806451613
126,gradient_boosting_depth3_20,movement,movement,27,0.8709677419354839
126,logistic_regression_c0_1,empty,empty,10,0.625
126,logistic_regression_c0_1,empty,static_presence,5,0.3125
126,logistic_regression_c0_1,empty,movement,1,0.0625
126,logistic_regression_c0_1,static_presence,empty,6,0.1935483870967742
126,logistic_regression_c0_1,static_presence,static_presence,16,0.5161290322580645
126,logistic_regression_c0_1,static_presence,movement,9,0.2903225806451613
