seed,classifier,family,top_k,label,precision,recall,f1,support,roc_auc,average_precision
84,gradient_boosting_top70,gradient_boosting,70,static_presence,0.4418604651162791,0.6129032258064516,0.5135135135135135,31,0.7234267583289266,0.6057567384747091
84,gradient_boosting_top70,gradient_boosting,70,movement,0.5185185185185185,0.5,0.509090909090909,28,0.8080357142857143,0.7199562446031132
84,xgboost_top70,xgboost,70,empty,0.76,0.5757575757575758,0.6551724137931034,33,0.891628145865434,0.7951180364551331
84,xgboost_top70,xgboost,70,static_presence,0.4888888888888889,0.7096774193548387,0.5789473684210527,31,0.74034902168165,0.589572382167468
84,xgboost_top70,xgboost,70,movement,0.6363636363636364,0.5,0.56,28,0.8526785714285714,0.7466940513752496
84,gradient_boosting_top100,gradient_boosting,100,empty,0.6818181818181818,0.45454545454545453,0.5454545454545454,33,0.881869542886492,0.7806943633925214
84,gradient_boosting_top100,gradient_boosting,100,static_presence,0.4883720930232558,0.6774193548387096,0.5675675675675675,31,0.7366472765732417,0.5962846299515934
84,gradient_boosting_top100,gradient_boosting,100,movement,0.5925925925925926,0.5714285714285714,0.5818181818181818,28,0.8058035714285714,0.7069213299012761
84,xgboost_top100,xgboost,100,empty,0.7777777777777778,0.6363636363636364,0.7,33,0.9183359013867488,0.7990872333662431
84,xgboost_top100,xgboost,100,static_presence,0.5555555555555556,0.6451612903225806,0.5970149253731343,31,0.804865150713908,0.7061505195800153
84,xgboost_top100,xgboost,100,movement,0.5862068965517241,0.6071428571428571,0.5964912280701754,28,0.8537946428571429,0.75137263967435
84,gradient_boosting_top126,gradient_boosting,126,empty,0.7083333333333334,0.5151515151515151,0.5964912280701754,33,0.9029275808936826,0.8185014031915219
84,gradient_boosting_top126,gradient_boosting,126,static_presence,0.5238095238095238,0.7096774193548387,0.6027397260273972,31,0.7826546800634585,0.6568999169166334
84,gradient_boosting_top126,gradient_boosting,126,movement,0.5769230769230769,0.5357142857142857,0.5555555555555556,28,0.8152901785714286,0.7169355079478441
84,xgboost_top126,xgboost,126,empty,0.8333333333333334,0.7575757575757576,0.7936507936507936,33,0.9250128402670776,0.8208334510048324
84,xgboost_top126,xgboost,126,static_presence,0.6176470588235294,0.6774193548387096,0.6461538461538462,31,0.817028027498678,0.7146312473032883
84,xgboost_top126,xgboost,126,movement,0.6071428571428571,0.6071428571428571,0.6071428571428571,28,0.8493303571428572,0.7537981358608191
84,gradient_boosting_top160,gradient_boosting,160,empty,0.72,0.5454545454545454,0.6206896551724138,33,0.9065228556753981,0.812193529363926
84,gradient_boosting_top160,gradient_boosting,160,static_presence,0.575,0.7419354838709677,0.647887323943662,31,0.8112109994711794,0.7456979142959623
84,gradient_boosting_top160,gradient_boosting,160,movement,0.6296296296296297,0.6071428571428571,0.6181818181818182,28,0.8621651785714286,0.7593773058661817
84,xgboost_top160,xgboost,160,empty,0.7096774193548387,0.6666666666666666,0.6875,33,0.8911145351823317,0.7708689788711782
84,xgboost_top160,xgboost,160,static_presence,0.5714285714285714,0.6451612903225806,0.6060606060606061,31,0.7736647276573242,0.6838733052016942
84,xgboost_top160,xgboost,160,movement,0.6153846153846154,0.5714285714285714,0.5925925925925926,28,0.8353794642857142,0.7301826888169164
