top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
126,26,10,1.0,20.7,0.12914978339290575
126,38,10,1.0,23.1,0.12670776321122093
126,194,10,1.0,23.6,0.1227485469512282
126,4,10,1.0,25,0.12259960590342016
126,37,10,1.0,25.3,0.12187109037372937
126,1,10,1.0,26.3,0.12106019399846772
126,34,10,1.0,26.3,0.12125798910368374
126,12,10,1.0,29.3,0.11836290815537957
126,45,10,1.0,31.2,0.1135671614632901
126,207,10,1.0,32.1,0.1105261355195479
126,216,10,1.0,32.1,0.11703214598453208
126,78,10,1.0,32.6,0.11367567698322868
126,226,10,1.0,33,0.11136669876292606
126,193,10,1.0,34.7,0.10759142690842094
126,15,10,1.0,35.8,0.11170543288053086
126,106,10,1.0,36.6,0.10603438488400542
126,73,10,1.0,37.7,0.10463970781108668
126,29,10,1.0,38.7,0.10430811947683573
126,178,10,1.0,39.3,0.1044955747533427
126,62,10,1.0,39.8,0.10329019204504984
126,215,10,1.0,40,0.10232401052538365
126,48,10,1.0,41.2,0.1025165313788809
126,27,10,1.0,41.3,0.10248761245952431
126,81,10,1.0,42.5,0.09947360252417309
126,100,10,1.0,43.5,0.09963298762118238
126,103,10,1.0,44.2,0.0989016296100335
126,72,10,1.0,45,0.09667009963307943
126,229,10,1.0,48.3,0.09246785172828577
126,84,10,1.0,50.3,0.09077957200088282
126,28,10,1.0,55.4,0.08836623293196003
126,196,10,1.0,55.4,0.08705842772688277
126,176,10,1.0,56.8,0.08486965140078351
126,74,10,1.0,60.9,0.0825611730048154
126,114,10,1.0,61.8,0.07982695551818554
126,218,10,1.0,61.9,0.08097819816909793
126,40,10,1.0,63.4,0.08207627519149481
126,39,10,1.0,65,0.07809056621060444
126,111,10,1.0,65,0.07790754761816718
126,75,10,1.0,66.6,0.07841928451139153
126,105,10,1.0,67.9,0.07668248263448262
126,217,10,1.0,68,0.07613723224623163
126,167,10,1.0,69.5,0.07579763003035564
