seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
21,xgboost_top30,xgboost,30,static_presence,empty,1,0.034482758620689655
21,xgboost_top30,xgboost,30,static_presence,static_presence,23,0.7931034482758621
21,xgboost_top30,xgboost,30,static_presence,movement,5,0.1724137931034483
21,xgboost_top30,xgboost,30,movement,empty,3,0.0967741935483871
21,xgboost_top30,xgboost,30,movement,static_presence,10,0.3225806451612903
21,xgboost_top30,xgboost,30,movement,movement,18,0.5806451612903226
21,gradient_boosting_top50,gradient_boosting,50,empty,empty,11,0.7333333333333333
21,gradient_boosting_top50,gradient_boosting,50,empty,static_presence,3,0.2
21,gradient_boosting_top50,gradient_boosting,50,empty,movement,1,0.06666666666666667
21,gradient_boosting_top50,gradient_boosting,50,static_presence,empty,1,0.034482758620689655
21,gradient_boosting_top50,gradient_boosting,50,static_presence,static_presence,21,0.7241379310344828
21,gradient_boosting_top50,gradient_boosting,50,static_presence,movement,7,0.2413793103448276
21,gradient_boosting_top50,gradient_boosting,50,movement,empty,1,0.03225806451612903
21,gradient_boosting_top50,gradient_boosting,50,movement,static_presence,10,0.3225806451612903
21,gradient_boosting_top50,gradient_boosting,50,movement,movement,20,0.6451612903225806
21,xgboost_top50,xgboost,50,empty,empty,10,0.6666666666666666
21,xgboost_top50,xgboost,50,empty,static_presence,1,0.06666666666666667
21,xgboost_top50,xgboost,50,empty,movement,4,0.26666666666666666
21,xgboost_top50,xgboost,50,static_presence,empty,1,0.034482758620689655
21,xgboost_top50,xgboost,50,static_presence,static_presence,23,0.7931034482758621
21,xgboost_top50,xgboost,50,static_presence,movement,5,0.1724137931034483
21,xgboost_top50,xgboost,50,movement,empty,1,0.03225806451612903
21,xgboost_top50,xgboost,50,movement,static_presence,12,0.3870967741935484
21,xgboost_top50,xgboost,50,movement,movement,18,0.5806451612903226
21,gradient_boosting_top70,gradient_boosting,70,empty,empty,9,0.6
21,gradient_boosting_top70,gradient_boosting,70,empty,static_presence,5,0.3333333333333333
21,gradient_boosting_top70,gradient_boosting,70,empty,movement,1,0.06666666666666667
21,gradient_boosting_top70,gradient_boosting,70,static_presence,empty,1,0.034482758620689655
