seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
126,seed126_quad3_scenario1,quad3,raw_prediction,60,0.7666666666666667,0.7638095238095238,0.7737142857142857,0.8571428571428571,0.7199999999999999,0.7142857142857143,4,26,22,0,4,4,1.0,0.25,0.6380776878123047,0.13156152610548869,0.6513095238095238
126,seed126_quad3_scenario1,quad3,majority_vote_3,60,0.8833333333333333,0.8897028897028897,0.8830280830280832,0.888888888888889,0.8571428571428572,0.923076923076923,4,8,4,0,4,4,1.0,1.0,0.6380776878123047,0.13156152610548869,0.8597028897028897
126,seed126_quad3_scenario1,quad3,majority_vote_5,60,0.8666666666666667,0.8703703703703703,0.8666666666666667,0.888888888888889,0.8333333333333334,0.888888888888889,4,10,6,0,4,4,1.0,1.25,0.6380776878123047,0.13156152610548869,0.8278703703703704
126,seed126_quad3_scenario1,quad3,confidence_hold_055,60,0.9166666666666666,0.9130092164319731,0.91783328194059,0.9565217391304348,0.8936170212765957,0.888888888888889,4,7,3,0,4,4,1.0,0.75,0.6380776878123047,0.13156152610548869,0.8905092164319731
126,seed126_quad3_scenario1,quad3,confidence_hold_065,60,0.8333333333333334,0.822808833678399,0.8373706004140788,0.9565217391304348,0.761904761904762,0.7499999999999999,4,5,1,0,4,4,1.0,2.25,0.6380776878123047,0.13156152610548869,0.795308833678399
126,seed126_quad3_scenario1,quad3,confirm2_conf050_override075,60,0.9166666666666666,0.917621385706492,0.916530278232406,0.9361702127659574,0.8936170212765957,0.923076923076923,4,4,0,0,4,4,1.0,1.0,0.6380776878123047,0.13156152610548869,0.907621385706492
126,seed126_quad3_scenario1,quad3,confirm2_conf060_override080,60,0.9166666666666666,0.917621385706492,0.916530278232406,0.9361702127659574,0.8936170212765957,0.923076923076923,4,4,0,0,4,4,1.0,1.0,0.6380776878123047,0.13156152610548869,0.907621385706492
126,seed126_quad3_scenario1,quad3,confirm3_conf050_override080,60,0.85,0.8422892957281873,0.8507471548738248,0.9361702127659574,0.7906976744186046,0.8,4,4,0,0,4,4,1.0,2.25,0.6380776878123047,0.13156152610548869,0.8197892957281874
126,seed126_quad3_scenario1,quad3,vote3_confirm2_conf050,60,0.9166666666666666,0.917621385706492,0.916530278232406,0.9361702127659574,0.8936170212765957,0.923076923076923,4,4,0,0,4,4,1.0,1.25,0.6380776878123047,0.13156152610548869,0.905121385706492
126,seed126_quad3_scenario1,quad3,vote3_confirm2_conf060,60,0.8,0.7806557714050776,0.8034535923527597,0.9361702127659574,0.7391304347826088,0.6666666666666665,4,4,0,0,4,4,1.0,3.0,0.6380776878123047,0.13156152610548869,0.7506557714050776
126,seed126_quad3_scenario1,quad3,movement_priority_confirm,60,0.8333333333333334,0.8240895076859388,0.8340686995457071,0.9361702127659574,0.761904761904762,0.7741935483870968,4,4,0,0,4,4,1.0,2.25,0.6380776878123047,0.13156152610548869,0.8015895076859388
126,seed126_quad3_scenario2,quad3,raw_prediction,60,0.7666666666666667,0.7638095238095238,0.7737142857142857,0.8571428571428571,0.7199999999999999,0.7142857142857143,4,27,23,0,4,4,1.0,0.25,0.643127332846292,0.132987999070908,0.6463095238095238
126,seed126_quad3_scenario2,quad3,majority_vote_3,60,0.9166666666666666,0.9114936409346347,0.9177923691215618,0.9565217391304348,0.8979591836734694,0.8799999999999999,4,9,5,0,4,4,1.0,0.75,0.643127332846292,0.132987999070908,0.8789936409346347
126,seed126_quad3_scenario2,quad3,majority_vote_5,60,0.8833333333333333,0.8817845978971298,0.8842284739982949,0.9130434782608695,0.8627450980392156,0.8695652173913043,4,4,0,0,4,4,1.0,1.75,0.643127332846292,0.132987999070908,0.8642845978971299
126,seed126_quad3_scenario2,quad3,confidence_hold_055,60,0.8666666666666667,0.8530286138981791,0.869788182831661,0.9565217391304348,0.8333333333333334,0.7692307692307692,4,11,7,0,4,4,1.0,1.25,0.643127332846292,0.132987999070908,0.8055286138981791
126,seed126_quad3_scenario2,quad3,confidence_hold_065,60,0.75,0.7186304404929135,0.7586528248877925,0.9565217391304348,0.6808510638297872,0.5185185185185186,4,11,7,0,4,4,1.0,3.0,0.643127332846292,0.132987999070908,0.6536304404929134
126,seed126_quad3_scenario2,quad3,confirm2_conf050_override075,60,0.9,0.8926428181747331,0.8997428103811083,0.9361702127659574,0.8846153846153847,0.8571428571428571,4,4,0,0,4,4,1.0,1.5,0.643127332846292,0.132987999070908,0.8776428181747331
126,seed126_quad3_scenario2,quad3,confirm2_conf060_override080,60,0.8333333333333334,0.8159456264775412,0.8351347517730495,0.9361702127659574,0.7916666666666666,0.7199999999999999,4,4,0,0,4,4,1.0,2.5,0.643127332846292,0.132987999070908,0.7909456264775412
126,seed126_quad3_scenario2,quad3,confirm3_conf050_override080,60,0.8666666666666667,0.8480762736081885,0.8653105759488737,0.9361702127659574,0.8461538461538461,0.761904761904762,4,4,0,0,4,4,1.0,2.0,0.643127332846292,0.132987999070908,0.8280762736081885
126,seed126_quad3_scenario2,quad3,vote3_confirm2_conf050,60,0.8833333333333333,0.8723657096623304,0.8832024879584328,0.9361702127659574,0.8627450980392156,0.8181818181818182,4,4,0,0,4,4,1.0,1.75,0.643127332846292,0.132987999070908,0.8548657096623304
126,seed126_quad3_scenario2,quad3,vote3_confirm2_conf060,60,0.8333333333333334,0.8159456264775412,0.8351347517730495,0.9361702127659574,0.7916666666666666,0.7199999999999999,4,4,0,0,4,4,1.0,2.5,0.643127332846292,0.132987999070908,0.7909456264775412
126,seed126_quad3_scenario2,quad3,movement_priority_confirm,60,0.8333333333333334,0.8159456264775412,0.8351347517730495,0.9361702127659574,0.7916666666666666,0.7199999999999999,4,4,0,0,4,4,1.0,2.5,0.643127332846292,0.132987999070908,0.7909456264775412
126,seed126_quad3_scenario3,quad3,raw_prediction,60,0.7833333333333333,0.7809938790330948,0.7890445066915656,0.8571428571428571,0.7450980392156864,0.7407407407407408,4,25,21,0,4,4,1.0,0.5,0.6306450923715283,0.13400147163603765,0.6709938790330948
126,seed126_quad3_scenario3,quad3,majority_vote_3,60,0.8833333333333333,0.8788766788766789,0.8854212454212455,0.9333333333333333,0.8571428571428572,0.8461538461538461,4,9,5,0,4,4,1.0,1.25,0.6306450923715283,0.13400147163603765,0.8413766788766789
126,seed126_quad3_scenario3,quad3,majority_vote_5,60,0.85,0.8504564218849934,0.8513169370312228,0.888888888888889,0.816326530612245,0.8461538461538461,4,6,2,0,4,4,1.0,2.0,0.6306450923715283,0.13400147163603765,0.8204564218849933
126,seed126_quad3_scenario3,quad3,confidence_hold_055,60,0.9333333333333333,0.9320884429580082,0.9338907469342252,0.9565217391304348,0.9166666666666666,0.923076923076923,4,5,1,0,4,4,1.0,1.0,0.6306450923715283,0.13400147163603765,0.9170884429580082
126,seed126_quad3_scenario3,quad3,confidence_hold_065,60,0.9166666666666666,0.9114936409346347,0.9177923691215618,0.9565217391304348,0.8979591836734694,0.8799999999999999,4,5,1,0,4,4,1.0,1.25,0.6306450923715283,0.13400147163603765,0.8939936409346347
126,seed126_quad3_scenario3,quad3,confirm2_conf050_override075,60,0.9166666666666666,0.9169320210353645,0.916985091909104,0.9361702127659574,0.8979591836734694,0.9166666666666666,4,4,0,0,4,4,1.0,1.25,0.6306450923715283,0.13400147163603765,0.9044320210353646
126,seed126_quad3_scenario3,quad3,confirm2_conf060_override080,60,0.9166666666666666,0.9169320210353645,0.916985091909104,0.9361702127659574,0.8979591836734694,0.9166666666666666,4,4,0,0,4,4,1.0,1.25,0.6306450923715283,0.13400147163603765,0.9044320210353646
126,seed126_quad3_scenario3,quad3,confirm3_conf050_override080,60,0.9,0.8952451433857539,0.9003811285846439,0.9361702127659574,0.8799999999999999,0.8695652173913043,4,4,0,0,4,4,1.0,1.5,0.6306450923715283,0.13400147163603765,0.8802451433857539
126,seed126_quad3_scenario3,quad3,vote3_confirm2_conf050,60,0.8833333333333333,0.8777959629023458,0.8841243862520458,0.9361702127659574,0.851063829787234,0.8461538461538461,4,4,0,0,4,4,1.0,1.75,0.6306450923715283,0.13400147163603765,0.8602959629023459
126,seed126_quad3_scenario3,quad3,vote3_confirm2_conf060,60,0.8833333333333333,0.8777959629023458,0.8841243862520458,0.9361702127659574,0.851063829787234,0.8461538461538461,4,4,0,0,4,4,1.0,1.75,0.6306450923715283,0.13400147163603765,0.8602959629023459
126,seed126_quad3_scenario3,quad3,movement_priority_confirm,60,0.9166666666666666,0.9169320210353645,0.916985091909104,0.9361702127659574,0.8979591836734694,0.9166666666666666,4,4,0,0,4,4,1.0,1.25,0.6306450923715283,0.13400147163603765,0.9044320210353646
168,seed168_quad1_scenario1,quad1,raw_prediction,60,0.65,0.666541117388575,0.63984934086629,0.5555555555555556,0.6440677966101694,0.8,4,27,23,0,4,4,1.0,0.0,0.5865419792371787,0.14153439491653197,0.551541117388575
168,seed168_quad1_scenario1,quad1,majority_vote_3,60,0.7,0.7185852835757959,0.6789690069576219,0.5294117647058825,0.7096774193548387,0.9166666666666666,4,10,6,0,4,4,1.0,0.75,0.5865419792371787,0.14153439491653197,0.6810852835757959
